Saint,Miracle,Feat,Other Factoids,Something Fishy,Sources
Valerie of Limoges,Removal of own head aka Cephalophore.,,,,
Eucharius,Resurrected the dead on multiple occasions,,,,
Georgios,,Slayed a Dragon,,,
Gabriel of Beth Qustan,Mass raising of the dead to move a massive stone,,,,
George El Mozahem,Immunity to fire,,,,
Aaron_(saint),,,,coptic smells,
Aaron_of_Aleth,,,"hermit, monk, and abbot",,
Aaron_the_Illustrious,,,built 2 monasteries,,
Ababius,,"ate only 1 meal a day of flatbread and vegetables. planted a piece of drywood, watered it twice a day for 3 years until it eventually sprouted fruit",known for his obedience,,
Abadios,,,martyr(thrown into a rock),,
Abadiu of Antinoe,,,martyr,,
Abai_(martyr),,,martyr,,
Abakuh,,,martyr,,
Abamun_of_Tarnut,maybe something,,"martyr(torture, limbs cut off and beheaded)",,
Abanoub,healed by archangel Michael. Caused the soldiers who were torturing him to go blind and their leader to go paralyzed. Then healed the soldiers in front of a crowd and the soldiers converted in front of the governor and crowd. Miracles have been manifested from his body after his death.,,martyr,,
Abassad,,,martyr,,
Abba Pantelewon,,,founded monastary,monk,
Abban_of_Magheranoidhe,"Warded off any danger presented by men, monsters and supernatural phenomena. Exercised special authority over rivers and seas.",,built monastary,,
Abbo_of_Auxerre,,,"monk, bishop, abbot",,
Abbo_of_Fleury,,,"monk, abbot",,
Abda_and_Abdjesus,,,martyrs,,
Abda_and_Sabas,,,martyrs,,
Abda_of_Dair-Koni,,,founded monastary and school,abbot and priest,
Abda_of_Edessa,,,,bishop,
Abda_of_Kaskhar,,Exercised demons of King Yezdegerd's son,martyr,,
Abdecalas,,,martyr,,
Abdel_Messih_El-Makari,"prescience, discerning of spirits and healing the sick",,,,
Abdias_of_Babylon,,,og apostle 1 of 70 disciples according to Luke,,
Abdiesus_(saint),,,martyr,,
Abdisho,,,martyr,smells,
Abdon_and_Sennen,,,"martyrs,swordsmen and coopers",,
Abel_of_Reims,,,bishop,smells,
Abel_of_Tacla_Haimonot,,,coptic monk,,
Abeluzius,,,"specifically says "" Little else is known of the subject"" meaning there's prolly something interesting about the dude. Also his name is interesting",,
Abercius_(martyr),,,"martyr,from sword",,
Abercius_and_Helena,,,"martyr,Abercius exposed naked to bees and helena by stoning",smells,
Abercius_of_Hieropolis,,,wrote to marcus auerilius and wrote a book called book of discipline thats lost to grabblers,smells,
Abgar_V_of_Edessa,,,,smells dude wasnt real cause J woulda never said what they claim he said in a letter.,
Abhai_(saint),possibly immune to poison,lived extremely long,,smells,
Abhai_of_Hach,,,abbot,smells,
Abhai_the_general,,,martyr,,
Abhor_and_Mehraela,,,,"books on their acts lost, and abhor is where the word abhor comes from, meaning to shudder at or shrink from smells",
Abias,,,,coptic smells,
"Abiatha,_Hathes_and_Mamlacha",,,martyrs,smells like women raped to death by grabblers,
Abiathar_and_Sidonia,,,,smells obvious grabbler lie,
Abibion,,,abbot,,
Abibon,,,,"Paul's teacher. Paul was inside man for the pharisee, so his teacher most likely was also connected to the pharisee",
Abibos_of_Nekresi,,,martyr,smells,
Abibus_of_Edessa,body unaffected by fire,,martyr,"smells it seems that the demons that write these articles are obsessed with the saints bodies, so it could be possible that they wanted the body to stay on this realm instead of the saint burning into ash so he could no longer be connected to this realm.",
Abibus_of_Samosata,,,martyr,scratched by iron (whatever that means),
Abimalek_Timotheus,,,,smells,
Abippus,,,,greek orthodox smells,
Ablak_(saint),,,,ethiopian orthodox smells,
Abnodius,,,,coptic smells,
Abo_of_Tiflis,,,martyr,smells,
Abra_of_Poitiers,,,virgin nun,,
"Abraam,_Bishop_of_Faiyum",,,seems like he was a really good dude respected by muslims and christians,,
