Saint,Miracle,Feat,Other Factoids,Something Fishy,Sources
Valerie of Limoges,Removal of own head aka Cephalophore.,,,,wikipedia as interpreted by spellsoftruth
Eucharius,Resurrected the dead on multiple occasions,,,,wikipedia as interpreted by spellsoftruth
Georgios,,Slayed a  Dragon,,,wikipedia as interpreted by spellsoftruth
Gabriel of Beth Qustan,Mass raising of the dead to move a massive stone,,,,wikipedia as interpreted by spellsoftruth
George El Mozahem,Immunity to fire,,,,wikipedia as interpreted by spellsoftruth
Aaron_(saint),,,,coptic smells,wikipedia as interpreted by spellsoftruth
Aaron_of_Aleth,,,"hermit, monk, and abbot",,wikipedia as interpreted by spellsoftruth
Aaron_the_Illustrious,,,built 2 monasteries,,wikipedia as interpreted by spellsoftruth
Ababius,,"ate only 1 meal a day of flatbread and vegetables. planted a piece of drywood, watered it twice a day for 3 years until it eventually sprouted fruit",known for his obedience,,wikipedia as interpreted by spellsoftruth
Abadios,,,martyr(thrown into a rock),,wikipedia as interpreted by spellsoftruth
Abadiu of Antinoe,,,martyr,,wikipedia as interpreted by spellsoftruth
Abai_(martyr),,,martyr,,wikipedia as interpreted by spellsoftruth
Abakuh,,,martyr,,wikipedia as interpreted by spellsoftruth
Abamun_of_Tarnut,maybe something,,"martyr(torture, limbs cut off and beheaded)",,wikipedia as interpreted by spellsoftruth
Abanoub,healed by archangel Michael. Caused the soldiers who were torturing him to go blind and their leader to go paralyzed. Then healed the soldiers in front of a crowd and the soldiers converted in front of the governor and crowd. Miracles have been manifested from his body after his death.,,martyr,,wikipedia as interpreted by spellsoftruth
Abassad,,,martyr,,wikipedia as interpreted by spellsoftruth
Abba Pantelewon,,,founded monastary,monk,wikipedia as interpreted by spellsoftruth
Abban_of_Magheranoidhe,"Warded off any danger presented by men, monsters and supernatural phenomena. Exercised special authority over rivers and seas.",,built monastary,,wikipedia as interpreted by spellsoftruth
Abbo_of_Auxerre,,,"monk, bishop, abbot",,wikipedia as interpreted by spellsoftruth
Abbo_of_Fleury,,,"monk, abbot",,wikipedia as interpreted by spellsoftruth
Abda_and_Abdjesus,,,martyrs,,wikipedia as interpreted by spellsoftruth
Abda_and_Sabas,,,martyrs,,wikipedia as interpreted by spellsoftruth
Abda_of_Dair-Koni,,,founded monastary and school,abbot and priest,wikipedia as interpreted by spellsoftruth
Abda_of_Edessa,,,,bishop,wikipedia as interpreted by spellsoftruth
Abda_of_Kaskhar,,Exercised demons of King Yezdegerd's son,martyr,,wikipedia as interpreted by spellsoftruth
Abdecalas,,,martyr,,wikipedia as interpreted by spellsoftruth
Abdel_Messih_El-Makari,"prescience, discerning of spirits and healing the sick",,,,wikipedia as interpreted by spellsoftruth
Abdias_of_Babylon,,,og apostle 1 of 70 disciples according to Luke,,wikipedia as interpreted by spellsoftruth
Abdiesus_(saint),,,martyr,,wikipedia as interpreted by spellsoftruth
Abdisho,,,martyr,smells,wikipedia as interpreted by spellsoftruth
Abdon_and_Sennen,,,"martyrs,swordsmen and coopers",,wikipedia as interpreted by spellsoftruth
Abel,,,,,wikipedia as interpreted by spellsoftruth
Abel_of_Reims,,,bishop,smells,wikipedia as interpreted by spellsoftruth
Abel_of_Tacla_Haimonot,,,coptic monk,,wikipedia as interpreted by spellsoftruth
Abeluzius,,,"specifically says "" Little else is known of the subject"" meaning there's prolly something interesting about the dude. Also his name is interesting",,wikipedia as interpreted by spellsoftruth
Abercius_(martyr),,,"martyr,from sword",,wikipedia as interpreted by spellsoftruth
Abercius_and_Helena,,,"martyr,Abercius exposed naked to bees and helena by stoning",smells,wikipedia as interpreted by spellsoftruth
Abercius_of_Hieropolis,,,wrote to marcus auerilius and wrote a book called book of discipline thats lost to grabblers,smells,wikipedia as interpreted by spellsoftruth
Abgar_V_of_Edessa,,,,smells dude wasnt real cause J woulda never said what they claim he said in a letter.,wikipedia as interpreted by spellsoftruth
Abhai_(saint),possibly immune to poison,lived extremely long,,smells,wikipedia as interpreted by spellsoftruth
Abhai_of_Hach,,,abbot,smells,wikipedia as interpreted by spellsoftruth
Abhai_the_general,,,martyr,,wikipedia as interpreted by spellsoftruth
Abhor_and_Mehraela,,,,"books on their acts lost, and abhor is where the word abhor comes from, meaning to shudder at or shrink from smells",wikipedia as interpreted by spellsoftruth
Abias,,,,coptic smells,wikipedia as interpreted by spellsoftruth
"Abiatha,_Hathes_and_Mamlacha",,,martyrs,smells like women raped to death by grabblers,wikipedia as interpreted by spellsoftruth
Abiathar_and_Sidonia,,,,smells obvious grabbler lie,wikipedia as interpreted by spellsoftruth
Abibion,,,abbot,,wikipedia as interpreted by spellsoftruth
Abibon,,,,"Paul's teacher. Paul was inside man for the pharisee, so his teacher most likely was also connected to the pharisee",wikipedia as interpreted by spellsoftruth
Abibos_of_Nekresi,,,martyr,smells,wikipedia as interpreted by spellsoftruth
Abibus_of_Edessa,body unaffected by fire,,martyr,"smells it seems that the demons that write these articles are obsessed with the saints bodies, so it could be possible that they wanted the body to stay on this realm instead of the saint burning into ash so he could no longer be connected to this realm.",wikipedia as interpreted by spellsoftruth
Abibus_of_Samosata,,,martyr,scratched by iron (whatever that means),wikipedia as interpreted by spellsoftruth
Abimalek_Timotheus,,,,smells,wikipedia as interpreted by spellsoftruth
Abippus,,,,greek orthodox smells,wikipedia as interpreted by spellsoftruth
Ablak_(saint),,,,ethiopian orthodox smells,wikipedia as interpreted by spellsoftruth
Abnodius,,,,coptic smells,wikipedia as interpreted by spellsoftruth
Abo_of_Tiflis,,,martyr,smells,wikipedia as interpreted by spellsoftruth
Abra_of_Poitiers,,,virgin nun,,wikipedia as interpreted by spellsoftruth
"Abraam,_Bishop_of_Faiyum",,,seems like he was a really good dude respected by muslims and christians,,wikipedia as interpreted by spellsoftruth
Abraham_(Persian_saint),,,martyr,tortured and killed by Shapur II the pharisee,wikipedia as interpreted by spellsoftruth
Abraham_Kidunaia,,,seems like he was a good dude and possibly a giant,,wikipedia as interpreted by spellsoftruth
Abraham_and_Coprius_of_Gryazovets,,,,smells bad,wikipedia as interpreted by spellsoftruth
Abraham_and_Onesimus_of_Kiev_Caves,,,,cave monks,wikipedia as interpreted by spellsoftruth
Abraham_of_Arazd,,,,tortured then became hermit,wikipedia as interpreted by spellsoftruth
